Class,ObsCount,amplitude,beyond1st,flux_percentile_ratio_mid20,flux_percentile_ratio_mid35,flux_percentile_ratio_mid50,flux_percentile_ratio_mid65,flux_percentile_ratio_mid80,kurtosis,max_slope,median_absolute_deviation,median_buffer_range_percentage,pair_slope_trend,pair_slope_trend_last_30,percent_amplitude,percent_difference_flux_percentile,poly1_t1,poly2_t1,poly2_t2,poly3_t1,poly3_t2,poly3_t3,poly4_t1,poly4_t2,poly4_t3,poly4_t4,skew,small_kurtosis,std,stetson_j,stetson_k
SN,30,1.4893999999999998,0.3333333333333333,0.05765809938837932,0.08419177585770757,0.2551400450744104,0.5282304343092796,0.7926618242042198,-0.30564106594721574,8.733456216073732,0.5795831111111116,0.1,0.5666666666666667,0.5666666666666667,58.21205333305074,13.060305667948997,-8.119129223106417e-05,-6.904005721535053e-05,4.986181389193519e-07,0.00011518602137355506,5.459100873386985e-07,-1.467335098124912e-10,5.623042498920266e-05,3.3125138558534374e-06,2.0981498013638275e-10,-1.3463397142320658e-12,-0.3505461778780992,-3.3373015873015874,0.7322341649826347,1.648216669906077,0.6984816510528226
Blazar,288,2.3707499999999992,0.3333333333333333,0.0020427156361387815,0.0045054466296676355,0.008009853956725486,0.16119748913533652,0.23799495476241284,1.885103470222639,8.779326428730343,0.5943366560570954,0.15625,0.4965277777777778,0.4666666666666667,9468.998888813361,132.77533870056334,-0.0005521476319642264,-0.00040671761517063764,-4.307275656636123e-07,-0.00030594898541423025,-4.0573981580813433e-07,-6.422966997811793e-11,-1.5126760835284744e-05,-1.483918361919373e-06,-3.6565459094167957e-10,5.114217970250644e-13,-1.588842772157923,-3.0316157526683845,0.7856385972822273,5.45302176715988,0.614549370987263
SN,188,0.5126499999999989,0.21808510638297873,0.13104861846248073,0.2370348553543391,0.3577172965789205,0.5074102636682157,0.6984739440190024,6.833803421499981,3.631842271193316,0.09719435830692684,0.3191489361702128,0.48404255319148937,0.5,4.391369127975321,0.6477783481004107,-3.6175926864863816e-05,-3.546574441999642e-05,-3.242564685366441e-09,-0.00010486964672090139,-1.9549400853821053e-08,4.492445720982075e-11,-9.602949899458269e-05,-7.156231858353785e-08,3.397857247117773e-11,2.5133277896590754e-14,-1.702061035271103,-3.0487358326068,0.13944935171551964,0.2364138772691404,0.66860151160708
CV,119,3.0957,0.6386554621848739,2.781589967175294e-05,5.680258193346921e-05,8.372813189943734e-05,0.00013960524154812918,0.23033885507622165,2.2417570419263266,16.372540686625594,1.0463567262198952,0.058823529411764705,0.48739495798319327,0.5333333333333333,77802.6551039804,20687.044736657568,-0.0002501895385511843,-0.00025532161230146,-8.712379062759972e-08,-0.0003214871133875542,-8.094984518657612e-08,4.6243355245600094e-11,-0.0004174611223356894,2.3126958725445932e-06,4.5603320179135364e-11,-1.135783856482886e-12,-1.847805189066965,-3.0778072502210434,1.5445188617992922,5.849450131586172,0.44325751400403984
SN?,24,0.9299999999999997,0.375,0.06873844142894245,0.09691607419860271,0.16559843322289927,0.25483010742581313,0.578253001295836,0.07080201477078107,3.2281861578148257,0.3514833333333329,0.125,0.5,0.4,11.175917715751762,6.123035779924707,-0.00026608990562042187,-0.0002658185485150351,3.1837416976420087e-10,-0.00048058512502189714,5.067597911334904e-07,3.604534227815236e-10,-0.0003126732731030492,6.326918351089847e-07,1.4066534188431848e-10,-1.242059531507585e-13,-0.3762626477583411,-3.435064935064935,0.4668011037206129,0.42643856439078676,0.6710404998131017
AGN?,63,0.97865,0.23809523809523808,0.2091871383532802,0.2972405751575764,0.40451735699799973,0.6047945589618025,0.7684166577697445,0.25296226493642937,7.393741820493028,0.3732725623582769,0.07936507936507936,0.5555555555555556,0.6333333333333333,3.734782131851524,2.5524954676244525,-0.00037772805986514623,-3.0219520584078822e-05,2.2153579467616083e-07,-0.00014453776299711157,9.692479250387256e-07,3.8232777006835196e-10,-0.0008733544966206999,1.5465894105862602e-06,1.885379250686525e-09,4.989928604191378e-13,0.8535442459933513,-3.1508196721311474,0.4720812400361407,0.5411210884930583,0.8231865430420229
SN/CV,25,0.8913999999999991,0.4,0.09881391654269776,0.16312378204291297,0.2892177647476316,0.5244640097551473,0.7867202053055105,-0.45898443218286333,2.738758749982095,0.3736598399999995,0.08,0.48,0.4,9.621845986687008,4.295907648288879,0.00021896483247964047,0.0002231087302935432,-6.006136820146981e-08,0.00015672605615991414,-5.7292971982523235e-08,5.05424027683504e-11,0.00016048204904779806,4.980907528388483e-07,4.156925722175562e-11,-3.074076290081421e-13,-0.17441920685788942,-3.4150197628458496,0.47451068632153404,0.348674316363782,0.7296752646072379
AGN,33,1.0970499999999994,0.21212121212121213,0.1886797280038698,0.23986604987221313,0.32280767136244626,0.518413648603699,0.6040546665552775,0.9592447775060964,4.950829976956921,0.359676584022038,0.030303030303030304,0.5151515151515151,0.5333333333333333,19.535250264571456,3.1284031597967115,-0.0001793735632235164,-0.0005276617523912924,-5.676271728630955e-07,-0.0005291073871601039,-5.627063873583608e-07,3.7841026796966495e-12,4.5096086774379765e-05,-4.061801849127684e-07,-1.3126802773497316e-09,-7.686456936483189e-13,-0.37753297644404415,-3.303225806451613,0.4604987956503843,0.08898612440661846,0.7229324584721581
Flare,226,1.463849999999999,0.28761061946902655,0.1265573429818832,0.20640204787579844,0.2827288747183929,0.3878587672156171,0.5783822936458571,0.9563912272584312,14.664620906642927,0.3207926619155764,0.084070796460177,0.5132743362831859,0.5333333333333333,49.69898481117355,3.634460029909217,-5.6741831139534344e-05,-5.4081497822766536e-05,-2.564497539579632e-08,-0.00013948074722600732,-2.9496286808450937e-08,5.375766500927785e-11,-0.00014044949197212304,9.308448937063001e-08,5.754667966751564e-11,-5.752528271995946e-14,-0.11888361379055261,-3.040418802049968,0.4095838726035876,-0.032295214205861164,0.6814552028713001
SN,312,1.6233000000000004,0.23397435897435898,0.13209777709487108,0.2179223904861936,0.3217169346316479,0.4714570150273807,0.6459044202116562,4.992424289293773,12.17900121231356,0.28516906640368184,0.12179487179487179,0.5032051282051282,0.6666666666666666,70.55664945701488,2.1549774095434526,-0.0001178962545630955,-0.0001150124315479917,-3.84744228207863e-08,-0.00023500208560978795,-5.040735552083209e-08,7.833399228901654e-11,-0.00021748005346259387,-4.5010832959048284e-07,5.074219881074607e-11,1.9238357610965027e-13,-0.7991473398884822,-3.029157532101472,0.4115943309145458,0.6445311726499832,0.5151795853782192
Blazar,272,1.1575000000000006,0.23161764705882354,0.07183092636374373,0.12509234045493325,0.18907515825166643,0.2880135252257958,0.6055929433579463,7.563370556179546,8.150454839545015,0.20242759245242112,0.16544117647058823,0.47794117647058826,0.4666666666666667,44.635204392146946,2.6948063128348383,2.015301866286526e-05,2.300294636714069e-05,-4.9345649251773226e-08,7.178371046752463e-05,-4.813427331017827e-08,-3.2378464555158734e-11,7.136898363117778e-05,-4.01117947210764e-08,-3.200114682082219e-11,-3.83859374993065e-15,-2.0056591423025862,-3.0334985543163984,0.30344278893703286,0.6084266773088501,0.6344555997765098
